"site","flux_sitenames","veg_type","roi_id","direction","value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min","max"
"austincary","US-SP1","EN",1000,"falling","exG_90","2017-11-14","2017-11-06","2017-10-22","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",56.1584,58.34606,61.805,54.9544,68.65455
"austincary","US-SP1","EN",1000,"falling","exG_90","2016-11-08","2016-11-01","2016-10-19","2016-11-09","2016-11-02","2016-10-20","2016-11-07","2016-10-31","2016-10-18",57.67226,59.52363,62.99042,56.57252,69.28082
"austincary","US-SP1","EN",1000,"falling","exG_90","2016-02-08","2016-02-02","2016-01-24","2016-02-09","2016-02-03","2016-01-25","2016-02-07","2016-02-01","2016-01-23",56.70547,57.60451,59.42401,56.09859,62.48599
"austincary","US-SP1","EN",1000,"falling","exG_75","2018-11-27","2018-11-19","2018-11-04","2018-11-28","2018-11-20","2018-11-06","2018-11-26","2018-11-18","2018-11-03",54.01394,55.72002,58.69581,52.95951,64.05329
"austincary","US-SP1","EN",1000,"falling","exG_75","2017-11-17","2017-11-09","2017-10-22","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",54.83956,56.68076,60.37594,53.48107,67.25453
"austincary","US-SP1","EN",1000,"falling","exG_75","2016-11-09","2016-11-01","2016-10-19","2016-11-10","2016-11-02","2016-10-20","2016-11-08","2016-10-31","2016-10-18",56.3415,58.31867,61.59481,55.28518,67.62935
"austincary","US-SP1","EN",1000,"falling","exG_75","2016-02-07","2016-02-02","2016-01-25","2016-02-08","2016-02-03","2016-01-26","2016-02-06","2016-02-01","2016-01-24",55.04829,55.8112,57.38649,54.47783,60.27157
"austincary","US-SP1","EN",1000,"falling","exG_50","2018-12-01","2018-11-23","2018-11-08","2018-12-02","2018-11-24","2018-11-09","2018-11-29","2018-11-22","2018-11-07",51.48628,53.15309,56.05164,50.60905,61.2281
"austincary","US-SP1","EN",1000,"falling","exG_50","2017-11-18","2017-11-10","2017-10-27","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",53.11734,55.03526,58.26558,51.86913,64.56644
"austincary","US-SP1","EN",1000,"falling","exG_50","2016-11-14","2016-11-04","2016-10-21","2016-11-15","2016-11-05","2016-10-22","2016-11-12","2016-11-03","2016-10-20",54.26335,56.0808,59.41364,53.13703,65.36458
"austincary","US-SP1","EN",1000,"falling","exG_50","2016-02-05","2016-01-30","2016-01-20","2016-02-06","2016-01-31","2016-01-22","2016-02-04","2016-01-29","2016-01-19",52.53786,53.39186,55.04234,51.97607,57.79406
"austincary","US-SP1","EN",1000,"falling","exG_mean","2018-12-09","2018-11-29","2018-11-12","2018-12-10","2018-11-30","2018-11-13","2018-12-08","2018-11-28","2018-11-11",49.93065,51.58773,54.85819,48.77241,60.69717
"austincary","US-SP1","EN",1000,"falling","exG_mean","2017-11-20","2017-11-12","2017-11-02","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",52.30515,54.33377,57.64183,51.13518,64.14055
"austincary","US-SP1","EN",1000,"falling","exG_mean","2016-11-09","2016-11-02","2016-10-19","2016-11-10","2016-11-03","2016-10-20","2016-11-08","2016-11-01","2016-10-18",54.00338,55.57939,58.98495,52.83372,64.61684
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2012-03-19","2012-04-08","2012-05-04","2012-03-13","2012-04-03","2012-04-29","2012-03-25","2012-04-13","2012-05-08",0.3399,0.34688,0.35932,0.33529,0.38267
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2013-03-30","2013-04-17","2013-05-09","2013-03-23","2013-04-14","2013-05-05","2013-04-06","2013-04-21","2013-05-12",0.33402,0.34198,0.35644,0.32873,0.38312
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2014-03-28","2014-04-16","2014-05-10","2014-03-20","2014-04-13","2014-05-06","2014-04-04","2014-04-20","2014-05-13",0.33285,0.34172,0.35808,0.32699,0.38833
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2015-03-17","2015-04-07","2015-05-04","2015-03-10","2015-04-03","2015-04-29","2015-03-24","2015-04-13","2015-05-07",0.33494,0.34253,0.35625,0.33004,0.38163
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2016-03-21","2016-04-09","2016-05-03","2016-03-14","2016-04-05","2016-04-29","2016-03-28","2016-04-14","2016-05-06",0.33499,0.34346,0.35914,0.32925,0.3881
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2017-03-21","2017-04-11","2017-05-05","2017-03-03","2017-04-07","2017-05-01","2017-03-27","2017-04-16","2017-05-07",0.33559,0.34442,0.36013,0.33,0.38911
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2018-03-16","2018-04-05","2018-04-29","2018-03-15","2018-03-15","2018-03-24","2018-04-26","2018-04-26","2018-05-02",0.33822,0.34705,0.36248,0.33261,0.39138
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2012-03-16","2012-04-05","2012-05-01","2012-03-10","2012-03-31","2012-04-26","2012-03-23","2012-04-11","2012-05-05",0.33757,0.34411,0.35576,0.33334,0.37762
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2013-03-29","2013-04-16","2013-05-08","2013-03-22","2013-04-13","2013-05-04","2013-04-06","2013-04-21","2013-05-11",0.3319,0.33938,0.35325,0.32696,0.37874
